,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1665.3145695452563,FDW58,OUT049
1,1433.0629412747373,FDW14,OUT017
2,531.0070459728757,NCN55,OUT010
3,2544.0806929835303,FDQ58,OUT017
4,6129.237695471926,FDY38,OUT027
5,1850.2958553675799,FDH56,OUT046
6,607.0883005025033,FDL48,OUT018
7,2248.723690181543,FDC48,OUT027
8,1472.3581563276725,FDN33,OUT045
9,3209.089863909957,FDA36,OUT017
10,1901.6706924397747,FDT44,OUT017
11,1314.5149960707263,FDQ56,OUT045
12,535.6970467920729,NCC54,OUT019
13,2094.1704967602273,FDU11,OUT049
14,851.304178645798,DRL59,OUT013
15,2477.683461581499,FDM24,OUT049
16,3104.2965126564304,FDI57,OUT045
17,2872.5171968596223,DRC12,OUT018
18,2828.4968784328903,NCM42,OUT027
19,493.2597590380078,FDA46,OUT010
20,2862.910996175424,FDA31,OUT013
21,3798.931677899782,NCJ31,OUT035
22,753.5067953332301,FDG52,OUT046
23,374.70268296718666,NCL19,OUT019
24,3048.1802519647563,FDS10,OUT035
25,678.8574870063314,FDX22,OUT010
26,853.6148723288844,NCF19,OUT035
27,2550.537854564953,NCE06,OUT046
28,3851.702652342698,DRC27,OUT046
29,2017.9317893162986,FDE21,OUT035
30,30.154928681629965,NCR42,OUT019
31,2823.2533055367912,FDX51,OUT018
32,450.5601386890742,NCR06,OUT018
33,5556.0882299852665,FDU31,OUT027
34,2605.970065291393,FDU59,OUT017
35,5554.224133348813,FDR03,OUT027
36,2235.0816795222104,FDS49,OUT027
37,347.912021064272,FDD48,OUT010
38,3156.021199752962,NCF18,OUT017
39,2698.091937595846,NCD43,OUT027
40,1754.8349244398344,NCD54,OUT018
41,316.5492266160595,FDY19,OUT010
42,2784.204600275722,NCY54,OUT017
43,2202.448961000279,NCL19,OUT018
44,558.9332444418005,FDP23,OUT010
45,1827.5414410531268,FDC26,OUT013
46,-10.404872054739503,FDR14,OUT010
47,3271.22148022738,NCS41,OUT035
48,3765.0092840299217,FDF41,OUT035
49,1964.876244016456,FDU34,OUT046
50,861.254168915205,DRH11,OUT046
51,1648.9992929547209,FDM03,OUT013
52,3059.7620076688213,FDS31,OUT017
53,2058.3077211165833,FDJ20,OUT017
54,5189.223601007724,FDV44,OUT027
55,3193.796409862448,FDG02,OUT049
56,3096.525237854177,FDA09,OUT013
57,681.0626817056785,FDT04,OUT013
58,298.52968427776227,FDL58,OUT019
59,1358.2668491695354,FDE52,OUT045
60,2559.581391628959,FDW12,OUT035
61,3581.7238811551706,FDL51,OUT017
62,3365.180432313956,NCY42,OUT027
63,1529.9951733861142,FDR07,OUT017
64,2394.52102954316,FDN40,OUT045
65,2501.3208177353963,FDB35,OUT027
66,2651.4167655552633,FDA22,OUT017
67,4180.060838570463,NCL06,OUT046
68,3040.1363975632776,FDI35,OUT013
69,3655.472436477715,NCW42,OUT045
70,3112.0134032429223,NCX06,OUT049
71,2694.90743924145,FDC37,OUT027
72,1728.7445479153005,FDZ14,OUT018
73,3911.554851659526,DRG49,OUT049
74,4048.0329859051717,NCG06,OUT045
75,2827.0216723540525,DRC36,OUT045
76,315.30856962885844,FDV21,OUT019
77,2443.793511472467,FDB53,OUT046
78,631.132776464626,DRP47,OUT019
79,2493.898984352732,FDA14,OUT013
80,2553.116132653423,DRC24,OUT035
81,1446.5957533805774,FDW21,OUT018
82,1503.0711229750889,NCH29,OUT046
83,3173.2630124224643,FDU58,OUT013
84,3066.038640470397,FDY27,OUT017
85,1710.0843841184644,FDV56,OUT035
86,3857.231224679334,FDT59,OUT046
87,3658.9257251114827,FDB23,OUT046
88,740.1329513385274,FDR49,OUT045
89,521.2290294055315,FDB03,OUT010
90,2665.3525916373255,FDN39,OUT045
91,5748.686386730805,FDX02,OUT027
92,2694.90743924145,FDQ16,OUT027
93,1395.5465453787247,FDU35,OUT018
94,2059.1484292777254,NCT29,OUT013
95,753.5296332063915,FDZ27,OUT046
96,2161.256530577008,FDN57,OUT017
97,2172.3219381489826,FDA03,OUT018
98,3079.6501806421225,FDZ36,OUT045
99,1265.1210030069658,NCU05,OUT013
100,2136.79492027512,FDT39,OUT018
101,1555.7556944169546,FDK60,OUT017
102,2820.7957641064813,FDZ25,OUT017
103,2009.5982272845586,FDG12,OUT046
104,518.4890839739753,DRB01,OUT019
105,6074.241818590307,NCC43,OUT027
