,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1665.3145695452565,FDW58,OUT049
1,1433.0629412747376,FDW14,OUT017
2,531.007045972876,NCN55,OUT010
3,2544.08069298353,FDQ58,OUT017
4,6129.237695471927,FDY38,OUT027
5,1850.2958553675803,FDH56,OUT046
6,607.0883005025034,FDL48,OUT018
7,2248.723690181542,FDC48,OUT027
8,1472.3581563276723,FDN33,OUT045
9,3209.0898639099564,FDA36,OUT017
10,1901.6706924397754,FDT44,OUT017
11,1314.5149960707265,FDQ56,OUT045
12,535.6970467920731,NCC54,OUT019
13,2094.1704967602273,FDU11,OUT049
14,851.3041786457982,DRL59,OUT013
15,2477.6834615814982,FDM24,OUT049
16,3104.29651265643,FDI57,OUT045
17,2872.5171968596223,DRC12,OUT018
18,2828.4968784328908,NCM42,OUT027
19,493.2597590380078,FDA46,OUT010
20,2862.910996175424,FDA31,OUT013
21,3798.9316778997822,NCJ31,OUT035
22,753.5067953332303,FDG52,OUT046
23,374.7026829671866,NCL19,OUT019
24,3048.1802519647567,FDS10,OUT035
25,678.8574870063316,FDX22,OUT010
26,853.6148723288845,NCF19,OUT035
27,2550.537854564953,NCE06,OUT046
28,3851.702652342698,DRC27,OUT046
29,2017.9317893162993,FDE21,OUT035
30,30.154928681629887,NCR42,OUT019
31,2823.253305536791,FDX51,OUT018
32,450.560138689074,NCR06,OUT018
33,5556.088229985267,FDU31,OUT027
34,2605.970065291393,FDU59,OUT017
35,5554.224133348814,FDR03,OUT027
36,2235.0816795222095,FDS49,OUT027
37,347.912021064272,FDD48,OUT010
38,3156.0211997529614,NCF18,OUT017
39,2698.091937595846,NCD43,OUT027
40,1754.8349244398341,NCD54,OUT018
41,316.54922661605934,FDY19,OUT010
42,2784.204600275723,NCY54,OUT017
43,2202.448961000279,NCL19,OUT018
44,558.9332444418006,FDP23,OUT010
45,1827.541441053127,FDC26,OUT013
46,-10.404872054739538,FDR14,OUT010
47,3271.2214802273797,NCS41,OUT035
48,3765.0092840299217,FDF41,OUT035
49,1964.8762440164567,FDU34,OUT046
50,861.2541689152051,DRH11,OUT046
51,1648.999292954721,FDM03,OUT013
52,3059.7620076688218,FDS31,OUT017
53,2058.307721116584,FDJ20,OUT017
54,5189.223601007725,FDV44,OUT027
55,3193.796409862447,FDG02,OUT049
56,3096.525237854177,FDA09,OUT013
57,681.0626817056786,FDT04,OUT013
58,298.5296842777621,FDL58,OUT019
59,1358.2668491695356,FDE52,OUT045
60,2559.5813916289585,FDW12,OUT035
61,3581.72388115517,FDL51,OUT017
62,3365.180432313955,NCY42,OUT027
63,1529.995173386114,FDR07,OUT017
64,2394.5210295431593,FDN40,OUT045
65,2501.3208177353963,FDB35,OUT027
66,2651.4167655552633,FDA22,OUT017
67,4180.060838570463,NCL06,OUT046
68,3040.136397563278,FDI35,OUT013
69,3655.4724364777135,NCW42,OUT045
70,3112.0134032429223,NCX06,OUT049
71,2694.90743924145,FDC37,OUT027
72,1728.7445479153014,FDZ14,OUT018
73,3911.5548516595254,DRG49,OUT049
74,4048.0329859051717,NCG06,OUT045
75,2827.021672354053,DRC36,OUT045
76,315.30856962885844,FDV21,OUT019
77,2443.7935114724664,FDB53,OUT046
78,631.1327764646261,DRP47,OUT019
79,2493.898984352731,FDA14,OUT013
80,2553.1161326534225,DRC24,OUT035
81,1446.5957533805777,FDW21,OUT018
82,1503.0711229750887,NCH29,OUT046
83,3173.2630124224634,FDU58,OUT013
84,3066.0386404703972,FDY27,OUT017
85,1710.0843841184649,FDV56,OUT035
86,3857.2312246793335,FDT59,OUT046
87,3658.9257251114814,FDB23,OUT046
88,740.1329513385276,FDR49,OUT045
89,521.2290294055318,FDB03,OUT010
90,2665.3525916373255,FDN39,OUT045
91,5748.686386730806,FDX02,OUT027
92,2694.90743924145,FDQ16,OUT027
93,1395.5465453787249,FDU35,OUT018
94,2059.1484292777263,NCT29,OUT013
95,753.5296332063918,FDZ27,OUT046
96,2161.2565305770077,FDN57,OUT017
97,2172.3219381489826,FDA03,OUT018
98,3079.650180642122,FDZ36,OUT045
99,1265.121003006966,NCU05,OUT013
100,2136.79492027512,FDT39,OUT018
101,1555.7556944169546,FDK60,OUT017
102,2820.7957641064813,FDZ25,OUT017
103,2009.5982272845592,FDG12,OUT046
104,518.4890839739753,DRB01,OUT019
105,6074.241818590308,NCC43,OUT027
106,736.0589795679921,FDX13,OUT019
107,890.658776291006,FDM22,OUT049
108,1401.0945047563216,FDJ03,OUT027
109,3546.7921340765874,FDU14,OUT018
110,342.0081638773845,FDB33,OUT010
111,3104.685583724811,FDP27,OUT046
112,222.49919799646534,FDO38,OUT010
113,6129.237695471927,FDE28,OUT027
114,1452.4147713008526,FDO27,OUT035
115,2698.091937595846,DRL23,OUT027
116,897.4371420818494,FDS28,OUT046
117,1476.4436548994565,FDX24,OUT013
118,1600.834767486372,FDZ02,OUT035
119,1745.259501176819,FDL46,OUT045
120,4786.213702780771,FDS60,OUT027
121,647.3950373092249,NCO06,OUT017
122,1422.6283594241531,FDO16,OUT035
123,1392.7246300005263,FDC60,OUT049
124,3126.028292631003,FDA48,OUT018
125,5255.335499946978,FDZ36,OUT027
126,1985.050317175138,FDK27,OUT045
127,428.1795205794857,FDW23,OUT018
128,1627.619403806579,FDM14,OUT018
129,1668.437859970826,FDM14,OUT013
130,2662.5107436255744,FDW60,OUT018
131,1920.4280734939207,FDE21,OUT013
132,1688.962469667644,NCM42,OUT035
133,311.22426856430457,FDY59,OUT010
134,1313.8790225416085,DRI49,OUT049
135,343.4237409320822,FDT28,OUT019
136,451.9423020564329,FDQ22,OUT018
137,1328.3359136250947,FDR60,OUT049
138,323.58965748542965,FDC50,OUT019
139,2432.565875135902,FDV24,OUT013
140,500.4254153583882,DRF48,OUT010
141,644.0341157693401,FDQ47,OUT046
142,1559.2935475176112,DRN36,OUT049
143,2135.771397636754,NCY06,OUT035
144,1464.0962666421387,FDE52,OUT035
145,2005.7332900274878,NCB54,OUT045
146,2530.70847511568,NCF31,OUT035
147,5142.659035712471,FDJ08,OUT027
148,1637.671637556226,NCC07,OUT017
149,1673.9352510036965,NCD19,OUT027
150,1905.3374015366207,FDL46,OUT049
151,3924.446377286932,FDM20,OUT045
152,396.53727144127237,NCI06,OUT010
153,4245.784173744412,DRM11,OUT035
154,2351.8237696646315,NCH07,OUT018
155,2153.465696353883,FDS23,OUT013
156,623.5036081362982,FDO49,OUT018
157,1073.7617584764575,FDS35,OUT049
158,1259.8418584994295,DRK39,OUT045
159,974.9964106552881,DRI39,OUT049
160,2629.363892007513,FDV04,OUT017
161,3202.788572646854,NCN14,OUT035
162,3995.0193323842514,FDH08,OUT013
163,3142.267262040912,FDS20,OUT046
164,1186.1864904214294,FDV40,OUT049
165,318.46041432136553,FDZ48,OUT010
166,2397.0352922380416,FDS24,OUT027
167,2893.4869411419418,FDK44,OUT049
168,2463.2076144885564,FDS48,OUT045
169,537.3315288362418,FDK26,OUT010
170,3108.1623668499365,FDD23,OUT045
171,2708.8757800211824,NCH54,OUT017
172,332.989195902859,NCP14,OUT010
173,56.38378707170061,FDM60,OUT010
174,2443.6891693388493,FDV24,OUT017
175,3300.5802738646967,FDH08,OUT018
176,3324.113397224164,FDS12,OUT027
177,4802.915130174486,FDR39,OUT027
178,1060.3347151734436,FDP12,OUT027
179,6088.246441978185,DRF60,OUT027
180,1711.9484807549175,FDC09,OUT035
181,2957.972722690738,FDF50,OUT018
182,3998.731390111864,FDG28,OUT035
183,931.3678750091748,NCE19,OUT017
184,323.0376509212282,NCM53,OUT010
185,1845.141407906005,NCN18,OUT049
186,3308.7401116976944,FDF32,OUT035
187,4034.2315025538546,FDF11,OUT013
188,3869.185076778362,DRI59,OUT049
189,2757.644008449112,NCG54,OUT035
190,1609.1187194487895,FDM44,OUT046
191,3399.6637740360843,FDT57,OUT018
192,2388.256958612409,FDV24,OUT046
193,580.3233318505992,FDI50,OUT019
194,811.1827379999181,FDS09,OUT035
195,3795.578557671917,NCC31,OUT027
196,596.4070226608936,FDQ07,OUT019
197,3182.0057325120865,FDC22,OUT017
198,2717.9660028003536,FDZ56,OUT046
199,90.52546539004167,FDZ40,OUT019
200,3041.31910231958,FDS46,OUT027
201,2135.158893361149,DRD24,OUT045
202,3311.2337930228064,FDV45,OUT017
203,2410.4130582139396,FDL26,OUT045
204,1734.4197857639408,FDA56,OUT018
205,1708.2777272073756,FDN27,OUT046
206,4017.3318679736253,FDM20,OUT049
207,1422.6283594241531,FDO16,OUT017
208,3228.358649988122,FDL03,OUT035
209,1811.2574639101226,FDE58,OUT046
210,3013.921076837531,FDI02,OUT027
211,34.22785805025686,NCC55,OUT019
212,3027.8822758896335,FDR03,OUT018
213,1483.3123475847976,FDB14,OUT017
214,4049.668963021166,FDR45,OUT013
215,2198.022155876628,NCN07,OUT017
216,381.26127185406267,FDM51,OUT019
217,6084.999822621433,FDT52,OUT027
218,2420.762932979176,FDL26,OUT046
219,3889.4682191720294,NCZ42,OUT046
220,399.71136487569146,DRI47,OUT019
221,2176.284471594703,FDW40,OUT013
222,2832.961990499194,FDN34,OUT046
223,2990.536952032763,FDS01,OUT035
224,1855.7877761991247,NCG55,OUT045
225,1359.7179666366073,FDC11,OUT035
226,3363.643964142056,FDX35,OUT018
227,2586.2617105246663,NCB06,OUT046
228,700.6648006019922,FDR09,OUT019
229,1585.3340688409428,FDC53,OUT017
230,4484.600551622192,FDY45,OUT013
231,370.7599153457804,FDA22,OUT010
232,1547.5116638770244,FDE02,OUT035
233,1589.509786759128,FDW21,OUT045
234,1116.99170194815,FDV34,OUT046
235,1682.9789217010336,FDS59,OUT049
236,2162.503680052435,NCW17,OUT017
237,1861.1089329718843,NCK54,OUT046
238,570.5505527443145,FDG17,OUT019
239,2845.3245317359992,FDG35,OUT017
240,21.978813155205504,FDD08,OUT010
241,3648.616564554536,NCO07,OUT017
242,373.04096079120245,FDJ10,OUT010
243,1694.9445414771183,FDW36,OUT017
244,346.2145145694819,FDW21,OUT010
245,1948.756079052611,FDY19,OUT017
246,767.2642537217624,DRE03,OUT013
247,714.5480646190916,NCC55,OUT049
248,166.11358737881574,FDH52,OUT010
249,4456.339824295791,FDO09,OUT017
250,3821.670143721311,FDU43,OUT045
251,443.3211936924571,FDX09,OUT010
252,294.6981793735609,FDH40,OUT019
253,1717.1185552479972,FDW58,OUT017
254,3911.6440382695832,FDC47,OUT017
255,1601.1132188619772,NCR41,OUT035
256,3986.4300057535356,DRG49,OUT035
257,3779.9247777645296,FDC52,OUT027
258,1107.9394831796774,FDY13,OUT046
259,701.7217894493917,FDY35,OUT013
260,3321.7125478142175,FDI35,OUT017
261,2201.3465795941975,NCU18,OUT049
262,2387.555625752467,FDY33,OUT018
263,4031.4937615571707,FDC15,OUT027
264,3227.365403615128,FDU01,OUT049
265,2709.1464830962523,NCU42,OUT046
266,2617.7163468656067,NCV29,OUT018
267,3260.115383237496,NCY30,OUT017
268,1848.027533423458,FDQ46,OUT049
269,3766.0346693233005,FDG58,OUT027
270,3668.956623000903,FDK33,OUT017
271,1819.0017467002422,NCD07,OUT045
272,3764.814128595692,NCX29,OUT027
273,2479.0247999301105,NCT42,OUT013
274,843.1573600239478,DRN59,OUT035
275,1315.4456549170045,FDI44,OUT035
276,2411.2591584101333,FDA45,OUT049
277,794.6089980360694,FDP31,OUT045
278,1777.0139283319702,FDY01,OUT046
279,1831.8259179818738,FDT09,OUT018
280,2610.8666601218474,DRH03,OUT027
281,2801.4917408102424,FDA36,OUT018
282,2530.70847511568,NCF31,OUT017
283,2499.7192084977114,FDG14,OUT049
284,6084.999822621433,FDG28,OUT027
285,4041.464840517864,FDU14,OUT049
286,351.1093713765996,FDY47,OUT019
287,1403.555575364103,FDI56,OUT049
288,921.2195436523382,DRD01,OUT013
289,953.1876839659127,FDM22,OUT046
290,678.794116348317,FDH33,OUT013
291,1880.4575456406417,DRZ24,OUT013
292,1624.128943447333,NCQ38,OUT046
293,2380.5694717792135,FDO16,OUT027
294,3764.814128595692,FDU07,OUT027
295,3094.798593534706,NCB07,OUT013
296,2043.4933557929987,FDU48,OUT045
297,2625.4885104411,NCM43,OUT045
298,222.36878998183403,FDR31,OUT010
299,447.37564033467777,DRK49,OUT018
300,524.5548871680049,NCI30,OUT010
301,3097.9516908973314,DRD60,OUT017
302,3797.166512534306,NCG19,OUT046
303,1663.5000580412368,FDH12,OUT035
304,1543.6993848794896,FDM32,OUT035
305,2505.050667265634,FDM27,OUT035
306,4137.5650945923735,NCU53,OUT027
307,1565.392651245667,NCQ18,OUT046
308,2981.5601571724173,FDS10,OUT013
309,4109.687275977896,FDB33,OUT027
310,1367.1724208353507,FDI12,OUT013
311,3806.8349222317515,NCW42,OUT013
312,1769.5556767755709,NCC06,OUT018
313,2551.014394685613,FDW02,OUT017
314,1701.3224630051552,NCD43,OUT017
315,1099.4761388658148,FDM57,OUT018
316,3929.947676895537,FDA58,OUT017
317,3104.685583724811,FDK56,OUT046
318,3871.0420084042294,FDP52,OUT045
319,1746.8648701111674,FDW20,OUT018
320,1669.1126556595784,FDS52,OUT049
321,1683.371144943965,NCT29,OUT018
322,2883.4264550998478,NCL54,OUT013
323,3111.775780154522,FDC05,OUT045
324,3220.076235257901,FDF34,OUT035
325,3251.8854108356027,FDP03,OUT027
326,282.2772087173631,FDD32,OUT010
